City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,17.68,49,39,2.24,CL,1743884426
1,tsiombe,-25.3,45.4833,23.55,85,44,4.19,MG,1743884427
2,teguise,29.0605,-13.564,18.12,64,20,3.6,ES,1743884229
3,adamstown,-25.066,-130.1015,24.2,78,100,6.43,PN,1743884429
4,ierapetra,35.01,25.7353,14.52,73,43,1.79,GR,1743884431
5,praia da vitoria,38.7333,-27.0667,14.14,72,40,9.3,PT,1743884432
6,badger,64.8,-147.5333,7.93,60,0,0.0,US,1743884433
7,hermanus,-34.4187,19.2345,20.45,82,100,5.16,ZA,1743884435
8,klyuchi,52.2667,79.1667,5.56,56,62,5.22,RU,1743884436
9,blackmans bay,-43.0167,147.3167,14.29,64,77,0.89,AU,1743884437
10,usinsk,65.9939,57.5281,-15.2,94,54,4.26,RU,1743884438
11,grytviken,-54.2811,-36.5092,0.59,64,14,2.25,GS,1743884439
12,haiku-pauwela,20.9219,-156.3051,26.81,70,20,12.07,US,1743884441
13,macau,22.2006,113.5461,18.85,82,40,2.57,MO,1743884442
14,waitangi,-43.9535,-176.5597,13.79,90,80,4.53,NZ,1743884443
15,invercargill,-46.4,168.35,10.01,92,81,1.34,NZ,1743884444
16,sumbe,-11.2061,13.8437,25.64,83,100,2.55,AO,1743884445
17,taoudenni,22.6783,-3.9836,32.06,12,61,4.62,ML,1743884447
18,metu,8.3,35.5833,15.08,91,95,1.37,ET,1743884448
19,nova sintra,14.8667,-24.7167,22.46,79,99,9.08,CV,1743884449
20,camana,-16.6228,-72.7111,24.48,76,100,3.78,PE,1743884450
21,isafjordur,66.0755,-23.124,3.91,93,96,4.88,IS,1743884452
22,longyearbyen,78.2186,15.6401,-10.09,85,75,3.09,SJ,1743884453
23,port-aux-francais,-49.35,70.2167,5.75,74,6,11.85,TF,1743884454
24,constancia,24.2231,-107.1869,25.94,25,0,6.56,MX,1743884455
25,tura,25.5198,90.2201,23.12,32,0,2.43,IN,1743884456
26,xai-xai,-25.0519,33.6442,22.94,88,96,4.12,MZ,1743884388
27,thompson,55.7435,-97.8558,-3.91,42,20,5.66,CA,1743884459
28,crane,31.3974,-102.3501,6.55,78,100,10.44,US,1743884460
29,murzuq,25.9155,13.9184,25.15,22,60,1.85,LY,1743884461
30,kilinochchi,9.3961,80.3982,24.46,90,99,1.76,LK,1743884462
31,san juanito,28.0,-107.5833,9.57,22,14,3.78,MX,1743884463
32,corleone,37.8134,13.3017,10.75,91,80,0.93,IT,1743884465
33,mili,6.0815,171.735,27.53,81,98,9.02,MH,1743884466
34,alice springs,-23.7,133.8833,14.75,88,0,2.06,AU,1743884467
35,quiberon,47.4841,-3.1196,13.39,81,0,2.59,FR,1743884468
36,pacocha,-17.5833,-71.3333,21.08,68,0,4.12,PE,1743884470
37,kodiak,57.79,-152.4072,5.73,100,100,6.17,US,1743884471
38,djambala,-2.5447,14.7533,20.25,95,100,1.35,CG,1743884472
39,kiunga,-6.1219,141.2906,22.79,100,100,0.76,PG,1743884473
40,edinburgh of the seven seas,-37.0676,-12.3116,19.36,92,10,10.22,SH,1743884474
41,port saint john's,-31.6229,29.5448,21.44,87,100,6.23,ZA,1743884476
42,puerto natales,-51.7236,-72.4875,12.25,58,0,1.54,CL,1743884477
43,rabaul,-4.1967,152.1721,27.0,78,100,2.24,PG,1743884478
44,geraldton,-28.7667,114.6,19.23,88,23,4.63,AU,1743884202
45,bilibino,68.0546,166.4372,-20.32,99,99,1.38,RU,1743884481
46,labrador city,52.9463,-66.9114,-1.05,64,75,6.17,CA,1743884482
47,bulan,12.6667,123.9333,24.37,89,100,2.74,PH,1743884483
48,anadyr,64.75,177.4833,-13.72,77,0,2.68,RU,1743884484
49,chajul,15.4853,-91.0342,21.88,67,47,1.98,GT,1743884485
50,yuzhno-kurilsk,44.0306,145.8556,0.87,88,15,2.12,RU,1743884487
51,bayji,34.9311,43.487,20.44,40,0,3.37,IQ,1743884488
52,barentu,15.1139,37.5928,26.25,45,80,4.46,ER,1743884489
53,christchurch,-43.5333,172.6333,14.41,88,100,1.33,NZ,1743884351
54,saipan,15.1355,145.701,27.39,78,40,5.66,MP,1743884492
55,iqaluit,63.7506,-68.5145,-17.95,64,0,7.2,CA,1743884493
56,holualoa,19.6228,-155.9522,26.42,70,0,3.09,US,1743884494
57,albany,42.6001,-73.9662,5.42,91,100,2.24,US,1743884213
58,whitehorse,60.7161,-135.0538,7.43,61,75,6.17,CA,1743884498
59,liwale,-9.7667,37.9333,20.5,99,80,1.42,TZ,1743884500
60,uturoa,-16.7333,-151.4333,28.16,74,78,5.64,PF,1743884501
61,boulazac,45.1167,0.75,14.6,62,4,2.47,FR,1743884503
62,wang nam yen,13.5033,102.1812,25.67,88,100,2.06,TH,1743884504
63,alaghsas,17.0187,8.0168,29.54,7,0,3.5,NE,1743884506
64,montego bay,18.4712,-77.9188,28.89,65,20,10.29,JM,1743884407
65,puerto ayora,-0.7393,-90.3518,27.53,92,95,1.79,EC,1743884508
66,nema,57.5067,50.5011,-1.6,87,96,1.76,RU,1743884509
67,vadso,70.0744,29.7487,-6.91,73,73,5.14,NO,1743884510
68,tannum sands,-23.9504,151.3693,21.53,88,17,2.06,AU,1743884512
69,yellowknife,62.456,-114.3525,-1.99,62,20,7.2,CA,1743884513
70,valera,9.3178,-70.6036,28.07,68,99,1.05,VE,1743884428
71,papatowai,-46.5619,169.4708,10.4,86,100,2.65,NZ,1743884515
72,kingston,17.997,-76.7936,30.65,66,20,11.32,JM,1743884394
73,laem sing,12.4816,102.0738,27.14,82,49,0.91,TH,1743884518
74,dzialoszyn,51.117,18.8652,0.79,58,4,9.26,PL,1743884519
75,tiksi,71.6872,128.8694,-24.48,100,100,1.03,RU,1743884520
76,jamestown,42.097,-79.2353,18.34,88,100,6.69,US,1743884521
77,puerto colombia,10.9878,-74.9547,32.05,66,95,10.82,CO,1743884523
78,port elizabeth,-33.918,25.5701,19.06,95,98,1.34,ZA,1743884524
79,plesetsk,62.708,40.2916,-11.56,94,20,1.84,RU,1743884526
80,hilvan,37.5869,38.9551,11.49,71,0,3.6,TR,1743884528
81,bethel,41.3712,-73.414,6.75,82,100,2.24,US,1743884277
82,burabay,53.0838,70.3138,6.15,68,66,6.55,KZ,1743884531
83,dongola,19.1667,30.4833,27.43,7,8,4.64,SD,1743884532
84,gadzhiyevo,69.2551,33.3362,-4.93,85,100,6.28,RU,1743884533
85,jacobina,-11.1806,-40.5183,32.75,31,80,4.1,BR,1743884535
86,nemuro,43.3236,145.575,1.56,87,7,2.88,JP,1743884536
87,la ronge,55.1001,-105.2842,6.14,26,20,2.57,CA,1743884537
88,ribeira grande,38.5167,-28.7,14.22,88,75,9.83,PT,1743884538
89,ta`u,-14.2336,-169.5144,28.46,75,79,4.63,AS,1743884539
90,port alfred,-33.5906,26.891,18.43,95,89,7.8,ZA,1743884542
91,waspan,14.7419,-83.9717,33.27,37,2,5.16,NI,1743884543
92,betio village,1.358,172.9211,26.02,83,35,6.91,KI,1743884544
93,ituango,7.1712,-75.764,26.41,87,100,1.2,CO,1743884545
94,lebu,-37.6167,-73.65,16.61,73,58,3.97,CL,1743884547
95,porto novo,6.4965,2.6036,28.9,82,59,5.12,BJ,1743884295
96,nikel,69.4128,30.222,-14.41,95,87,2.21,RU,1743884549
97,ushuaia,-54.8,-68.3,12.81,62,0,2.06,AR,1743884550
98,dwarka,22.2394,68.9678,26.59,72,0,6.59,IN,1743884551
99,udachny,66.4167,112.4,-8.75,99,100,1.29,RU,1743884553
100,utrik,11.2278,169.8474,26.92,77,12,7.99,MH,1743884555
101,aasiaat,68.7098,-52.8699,-11.36,78,94,3.15,GL,1743884556
102,sao felipe,-14.8167,-41.3833,32.11,27,58,2.57,BR,1743884557
103,bubaque,11.2833,-15.8333,23.86,74,54,7.75,GW,1743884559
104,ulladulla,-35.35,150.4667,9.72,75,0,2.56,AU,1743884560
